id_gare;nom_gare;trigramme;lat;lon;id_commune;nom_commune
87313759;Abancourt;ABT;49.6852237; 1.7743058;60001;ABANCOURT
87481614;Abbaretz;AAR;47.5546432; -1.5244159;44001;ABBARETZ
87317362;Abbeville;ABB;50.10221; 1.82449;80001;ABBEVILLE
87545269;Ablon-sur-Seine;ABL;48.725468; 2.419151;94001;ABLON-SUR-SEINE
87386052;Achères Grand Cormier;GCR;48.9551835; 2.0919031;78551;SAINT-GERMAIN-EN-LAYE
87381657;Achères Ville;ACW;48.97011; 2.07739;78005;ACHERES
87342048;Achiet-le-Grand;ACT;50.1317525; 2.780168;62005;ACHIET-LE-GRAND
87271460;Aéroport Charles de Gaulle 1;RSY;49.00956; 2.56135;93073;TREMBLAY-EN-FRANCE
"87271494;87001479";Aéroport Charles de Gaulle 2 TGV;RYT;49.003652; 2.570892;93073;TREMBLAY-EN-FRANCE
87757559;Agay;AGH;43.4313701; 6.8564997;83118;SAINT-RAPHAEL
87781278;Agde;AGD;43.31728; 3.466203;34003;AGDE
87586008;Agen;AGN;44.208311; 0.620932;47001;AGEN
87595157;Agonac;AGA;45.2865966; 0.7486706;24002;AGONAC
87171702;Aguilcourt - Variscourt;AGK;49.408017; 3.973137;2761;VARISCOURT
87485193;Aigrefeuille le Thou;AGR;46.09402; -0.95168;17447;LE THOU
87741421;Aiguebelette-le-Lac;AGQ;45.5363048; 5.8131468;73001;AIGUEBELETTE-LE-LAC
87741256;Aiguebelle;AEB;45.5437225; 6.3067175;73002;AIGUEBELLE
87734129;Aigueperse;AGE;46.0147884; 3.1982621;63001;AIGUEPERSE
87775858;Aigues-Mortes;AIM;43.5709008; 4.1912102;30003;AIGUES-MORTES
87586693;Aiguillon;AIN;44.2987224; 0.3352388;47004;AIGUILLON
87185629;Aillevillers;AIP;47.9138876; 6.3372988;70171;CORBENAY
87313221;Ailly-sur-Noye;ASN;49.75448; 2.36419;80010;AILLY-SUR-NOYE
87313098;Ailly-sur-Somme;AYS;49.92838; 2.20059;80011;AILLY-SUR-SOMME
87775833;Aimargues;AIA;43.6786107; 4.2082933;30006;AIMARGUES
87741769;Aime - La Plagne;ANJ;45.5544; 6.648646;73006;AIME
87713636;Aiserey;ASI;47.170501; 5.1582447;21005;AISEREY
87751404;Aix-en-Provence;AXP;43.522912; 5.445345;13001;AIX-EN-PROVENCE
87319012;Aix-en-Provence TGV;AXV;43.455237; 5.317534;13001;AIX-EN-PROVENCE
87741132;Aix-les-Bains le Revard;AIX;45.688161; 5.909371;73008;AIX-LES-BAINS
87592667;Aixe-sur-Vienne;ASV;45.7965002; 1.1456892;87001;AIXE-SUR-VIENNE
87722744;Alaï;ALA;45.7521198; 4.7717824;69244;TASSIN-LA-DEMI-LUNE
87746115;Albens;ABN;45.785946; 5.9483418;73010;ALBENS
87313072;Albert;ALJ;50.00546; 2.64453;80016;ALBERT
87741645;Albertville;ALV;45.672977; 6.383167;73011;ALBERTVILLE
87615005;Albi;ALB;43.92238; 2.137958;81004;ALBI
87615195;Albi Madeleine;ALM;43.938011; 2.1409629;81004;ALBI
87613398;Albias;ALE;44.0919078; 1.4448012;82002;ALBIAS
87721266;Albigny - Neuville;VVN;45.874921; 4.832874;69003;ALBIGNY-SUR-SAONE
87444711;Alençon;ALN;48.433884; 0.098531;61001;ALENCON
87775288;Alès;ALS;44.127825; 4.084948;30007;ALES
87594234;Allassac;AAA;45.2589385; 1.4731471;19005;ALLASSAC
87113878;Allée de la Tour Rendez-Vous;AET;48.897109; 2.506475;93057;LES PAVILLONS-SOUS-BOIS
87710913;Allée Royale;AYL;48.81431; 2.07827;78646;VERSAILLES
87783654;Allenc;AEN;44.541296; 3.6638926;48003;ALLENC
87731885;Alleyras;AES;44.919217; 3.673517;43005;ALLEYRAS
87182238;Altkirch;ALK;47.6270174; 7.2392493;68004;ALTKIRCH
87172262;Amagne - Lucquy;AMA;49.5238187; 4.4738775;8008;AMAGNE
87592311;Ambazac;ABZ;45.9529056; 1.406501;87002;AMBAZAC
87743716;Ambérieu-en-Bugey;AMB;45.954008; 5.342388;1004;AMBERIEU-EN-BUGEY
87574343;Amboise;AMQ;47.42148; 0.981299;37003;AMBOISE
87743146;Ambronay - Priay;AAI;46.0115941; 5.3382579;1007;AMBRONAY
87313874;Amiens;AMS;49.890746; 2.312592;80021;AMIENS
87171744;Amifontaine;AMF;49.4847322; 3.9105811;2013;AMIFONTAINE
87394205;Amilly Ouerray;AMY;48.4381825; 1.3892882;28006;AMILLY
87721035;Amplepuis;AMP;45.970982; 4.326844;69006;AMPLEPUIS
87481192;Ancenis;ANC;47.369334; -1.177763;44003;ANCENIS
87172858;Anchamps;ACP;49.9307448; 4.6702434;8011;ANCHAMPS
87575332;Anché - Voulon;ACV;46.3496187; 0.2503424;86003;ANCHE
87192419;Ancy-sur-Moselle;AYM;49.0575093; 6.0627661;57021;ANCY-SUR-MOSELLE
87715102;Andelot-en-Montagne;AND;46.8594671; 5.923584;39009;ANDELOT-EN-MONTAGNE
87611517;Andorre – l’Hospitalet;LHT;42.5894535; 1.8002635;9139;L'HOSPITALET-PRES-L'ANDORRE
87381491;Andrésy;ACY;48.9747; 2.04928;78015;ANDRESY
87726406;Andrézieux-Bouthéon;ANZ;45.5217037; 4.254834;42005;ANDREZIEUX-BOUTHEON
87484048;Angers Maître École;AME;47.4670899; -0.531894;49007;ANGERS
87484006;Angers Saint-Laud;ASL;47.464647; -0.55682;49007;ANGERS
87543090;Angerville;AGV;48.3112062; 2.0034931;91016;ANGERVILLE
87583005;Angoulême;ANG;45.653572; 0.164608;16015;ANGOULEME
87485102;Angoulins sur Mer;AOM;46.108057; -1.1154503;17010;ANGOULINS
87296566;Anizy - Pinon;API;49.4960073; 3.4487637;2602;PINON
87286856;Annappes;ANP;50.6227708; 3.1475351;59009;VILLENEUVE-D'ASCQ
87746008;Annecy;ANY;45.901965; 6.121835;74010;ANNECY
87745497;Annemasse;ANE;46.199222; 6.23652;74012;ANNEMASSE
87295055;Anor;ANO;49.984892; 4.0929803;59012;ANOR
87721324;Anse Halte;AHA;45.93929; 4.71987;69009;ANSE
87757567;Anthéor Cap Roux;AHC;43.4349641; 6.8921036;83118;SAINT-RAPHAEL
87757674;Antibes;ATB;43.585784; 7.119498;6004;ANTIBES
87317255;Anvin;ANV;50.446845; 2.25494;62036;ANVIN
87191643;Apach;APJ;49.458836; 6.371972;57026;APACH
87296459;Appilly;APP;49.5808826; 3.1221903;60021;APPILLY
87582726;Arbanats;ABH;44.6743555; -0.3954517;33007;ARBANATS
87718155;Arbois;AOI;46.912509; 5.7648273;39013;ARBOIS
87718841;Arc-et-Senans;ACA;47.0303516; 5.7767843;25021;ARC-ET-SENANS
87582668;Arcachon;ARC;44.659009; -1.16523;33009;ARCACHON
87144410;Arches;ARH;48.1198133; 6.5283085;88011;ARCHES
87683680;Arcy-sur-Cure;ACU;47.6008461; 3.7668885;89015;ARCY-SUR-CURE
